assumptionId,category,description,currentValue,unit,originalCurrency,targetCurrency,originalPriceYear,targetPriceYear,sourceCitation,sourceLocation,pageTableItem,repositoryPath,repositoryVariable,derivationMethod,inflationIndexId,inclusionStatus,reviewStatus,provisional,bundledIntoAssumptionId,doubleCountingGroup,notes,unresolvedReason
epi.regimen_3hp_completion,epidemiology,3HP completion probability,0.8,probability,,,,,Python regimen library default,Code default,,engine/apy/regimen.py,r3HP.pComplete,,,included,unreviewed_repository_input,True,,tpt_cascade,data/parameters.csv has treat.complete.3HP=0.79; conflict requires review.,Conflicting repository values require source review.
epi.regimen_4r_completion,epidemiology,4R completion probability,0.78,probability,,,,,Python regimen library default,Code default,,engine/apy/regimen.py,r4R.pComplete,,,included,unreviewed_repository_input,True,,tpt_cascade,data/parameters.csv has treat.complete.4R=0.676; conflict requires review.,Conflicting repository values require source review.
epi.regimen_3hr_completion,epidemiology,3HR completion probability,0.8,probability,,,,,Python regimen library default,Code default,,engine/apy/regimen.py,r3HR.pComplete,,,included,unreviewed_repository_input,True,,tpt_cascade,No reviewed source found in repository.,Scientific provenance not reviewed.
epi.regimen_6h_completion,epidemiology,6H completion probability,0.67,probability,,,,,Python regimen library default,Code default,,engine/apy/regimen.py,r6H.pComplete,,,included,unreviewed_repository_input,True,,tpt_cascade,data/parameters.csv has treat.complete.6H=0.672.,Scientific provenance not reviewed.
epi.regimen_9h_completion,epidemiology,9H completion probability,0.6,probability,,,,,Python regimen library default,Code default,,engine/apy/regimen.py,r9H.pComplete,,,included,unreviewed_repository_input,True,,tpt_cascade,data/parameters.csv has treat.complete.9H=0.653; conflict requires review.,Conflicting repository values require source review.
epi.regimen_3hp_adr_stop,epidemiology,3HP ADR stop probability,0.05,probability,,,,,Python regimen library default,Code default,,engine/apy/regimen.py,r3HP.pADRstop,,,included,unreviewed_repository_input,True,,tpt_cascade,No reviewed source found in repository.,Scientific provenance not reviewed.
epi.regimen_4r_adr_stop,epidemiology,4R ADR stop probability,0.02,probability,,,,,Python regimen library default,Code default,,engine/apy/regimen.py,r4R.pADRstop,,,included,unreviewed_repository_input,True,,tpt_cascade,No reviewed source found in repository.,Scientific provenance not reviewed.
epi.regimen_3hr_adr_stop,epidemiology,3HR ADR stop probability,0.03,probability,,,,,Python regimen library default,Code default,,engine/apy/regimen.py,r3HR.pADRstop,,,included,unreviewed_repository_input,True,,tpt_cascade,No reviewed source found in repository.,Scientific provenance not reviewed.
epi.regimen_6h_adr_stop,epidemiology,6H ADR stop probability,0.03,probability,,,,,Python regimen library default,Code default,,engine/apy/regimen.py,r6H.pADRstop,,,included,unreviewed_repository_input,True,,tpt_cascade,No reviewed source found in repository.,Scientific provenance not reviewed.
epi.regimen_9h_adr_stop,epidemiology,9H ADR stop probability,0.04,probability,,,,,Python regimen library default,Code default,,engine/apy/regimen.py,r9H.pADRstop,,,included,unreviewed_repository_input,True,,tpt_cascade,No reviewed source found in repository.,Scientific provenance not reviewed.
epi.regimen_full_efficacy,epidemiology,Full-course preventive treatment efficacy,0.85,probability,,,,,Python regimen library default for 3HP/4R/3HR/9H,Code default,,engine/apy/regimen.py,effFull,,,included,unreviewed_repository_input,True,,tpt_efficacy,data/parameters.csv has treat.effic.*=0.69 for several regimens; conflict requires review.,Conflicting repository values require source review.
epi.regimen_partial_efficacy,epidemiology,Partial-course preventive treatment efficacy,,probability,,,,,Python regimen partial-effect rules,Code default,,engine/apy/regimen.py,partialMode;partialEffKnots,,,included,unreviewed_repository_input,True,,tpt_efficacy,"Rules exist as model structure, not reviewed APY evidence.",Scientific provenance not reviewed.
epi.active_tb_progression,epidemiology,Active-TB progression hazards and risk multipliers,,hazard/probability,,,,,APY calibration and natural-history files,Repository audit,,engine/apy/calibration.py;engine/apy/natural_history.py;data/rrates.csv;data/rradjrates.csv,lambdaEarly;lambdaLate;rrates;rradjrates,Calibrated to active-TB target,,included,unreviewed_repository_input,True,,progression,Values are calibrated/model inputs; reviewed provenance not established.,Scientific provenance not reviewed.
cost.test_igra,cost,IGRA screening test per person,113.48,cost per person screened,AUD,AUD,,2025-26,Local data/costs.csv row cscreenqft,Local CSV row,cscreenqft,data/costs.csv,cscreenqft,,AUD_HEALTH_SYSTEM_CPI,included,unreviewed_repository_input,True,,screening_test,Includes test kit and lab processing per local row description.,Source citation and source price year unresolved.
cost.test_tst,cost,TST screening test per person,116.07,cost per person screened,AUD,AUD,,2025-26,Local data/costs.csv row cscreentst,Local CSV row,cscreentst,data/costs.csv,cscreentst,,AUD_HEALTH_SYSTEM_CPI,included,unreviewed_repository_input,True,,screening_test,Includes PPD injection and reading visit per local row description.,Source citation and source price year unresolved.
cost.regimen_3hp,cost,3HP preventive regimen per started course,165.5072,cost per started course,AUD,AUD,,2025-26,Local data/costs.csv row ctreat3HP,Local CSV row,ctreat3HP,data/costs.csv,ctreat3HP,,AUD_HEALTH_SYSTEM_CPI,included,unreviewed_repository_input,True,,regimen_cost,Medication cost row; exact bundle requires review.,Source citation and source price year unresolved.
cost.regimen_4r,cost,4R preventive regimen per started course,123.3172,cost per started course,AUD,AUD,,2025-26,Local data/costs.csv row ctreat4R,Local CSV row,ctreat4R,data/costs.csv,ctreat4R,,AUD_HEALTH_SYSTEM_CPI,included,unreviewed_repository_input,True,,regimen_cost,Medication cost row; exact bundle requires review.,Source citation and source price year unresolved.
cost.regimen_3hr,cost,3HR preventive regimen per started course,134.2272,cost per started course,AUD,AUD,,2025-26,Local data/costs.csv row ctreat3HR,Local CSV row,ctreat3HR,data/costs.csv,ctreat3HR,,AUD_HEALTH_SYSTEM_CPI,included,unreviewed_repository_input,True,,regimen_cost,Medication cost row; exact bundle requires review.,Source citation and source price year unresolved.
cost.regimen_6h,cost,6H preventive regimen per started course,187.7508,cost per started course,AUD,AUD,,2025-26,Local data/costs.csv row ctreat6H,Local CSV row,ctreat6H,data/costs.csv,ctreat6H,,AUD_HEALTH_SYSTEM_CPI,included,unreviewed_repository_input,True,,regimen_cost,Medication cost row; exact bundle requires review.,Source citation and source price year unresolved.
cost.regimen_9h,cost,9H preventive regimen per started course,254.8544,cost per started course,AUD,AUD,,2025-26,Local data/costs.csv row ctreat9H,Local CSV row,ctreat9H,data/costs.csv,ctreat9H,,AUD_HEALTH_SYSTEM_CPI,included,unreviewed_repository_input,True,,regimen_cost,Medication cost row; exact bundle requires review.,Source citation and source price year unresolved.
cost.active_tb_disease,cost,Active-TB disease care per case,19079.6,cost per active TB case,AUD,AUD,,2025-26,Local data/costs.csv row ctb,Local CSV row,ctb,data/costs.csv,ctb,,AUD_HEALTH_SYSTEM_CPI,included,unreviewed_repository_input,True,,active_tb_care,Includes diagnosis treatment follow-up and possibly hospitalisation per local row.,Source citation and source price year unresolved.
cost.false_positive_incremental,cost,False-positive incremental care per false-positive TPT start,,cost per false-positive TPT started,AUD,AUD,,2025-26,No reviewed value found in repository,Repository audit,,engine/apy/economics.py,false_positive_incremental,,AUD_HEALTH_SYSTEM_CPI,included,unresolved,True,,false_positive_care,No value invented.,Value and provenance unresolved.
cost.program_setup,cost,Programme setup total cost,,total once at programme start,AUD,AUD,,2025-26,No reviewed value found in repository,Repository audit,,engine/apy/economics.py,program_setup,,AUD_HEALTH_SYSTEM_CPI,included,unresolved,True,,program_cost,No value invented.,Value and provenance unresolved.
cost.program_running,cost,Programme running cost,,annual or total over screening programme,AUD,AUD,,2025-26,No reviewed value found in repository,Repository audit,,engine/apy/economics.py,program_running,,AUD_HEALTH_SYSTEM_CPI,included,unresolved,True,,program_cost,Basis must be explicit.,"Value, basis and provenance unresolved."
cost.tpt_adr_management,cost,TPT ADR management per ADR stop,,cost per ADR stop,AUD,AUD,,2025-26,data/costs.csv contains regimen-specific csae rows but no reviewed mapping,Repository audit,csae3HP;csae4R;csae6H;csae9H,data/costs.csv,csae*,No mapping selected,AUD_HEALTH_SYSTEM_CPI,included,unresolved,True,,adr_management,ADR cost can be costed or explicitly bundled/excluded after review.,"Reviewed mapping, source year and provenance unresolved."
daly.active_tb_disability_weight,daly,Active-TB disability weight,,disability weight,,,,,Legacy/offline paper script mentions 0.333 but not clinician-ready source,Repository audit,,scripts/run_apy_paper_daly_icer.py,active TB disability weight 0.333,,,included,unresolved,True,,active_tb_daly,Legacy/offline value is not promoted to APY reference evidence.,Reviewed DALY source required.
daly.active_tb_duration,daly,Active-TB disability duration,,years,,,,,Legacy/offline paper script mentions 0.5 years but not clinician-ready source,Repository audit,,scripts/run_apy_paper_daly_icer.py,active TB duration 0.5,,,included,unresolved,True,,active_tb_daly,Legacy/offline value is not promoted to APY reference evidence.,Reviewed DALY source required.
daly.tb_case_fatality_risk,daly,TB case-fatality risk,,probability,,,,,No reviewed APY value found in repository,Repository audit,,engine/apy/event_ledger_economics.py,tbCaseFatalityRisk,,,included,unresolved,True,,active_tb_daly,No value invented.,Reviewed DALY source required.
daly.yll_per_tb_death,daly,YLL per TB death,,years,,,,,No reviewed APY value found in repository,Repository audit,,engine/apy/event_ledger_economics.py,yllPerTBDeath,,,included,unresolved,True,,active_tb_daly,No value invented.,Reviewed DALY source required.
daly.tpt_health_loss,daly,TPT health loss inclusion or exclusion,,DALYs per TPT start,,,,,No reviewed inclusion or exclusion found in repository,Repository audit,,engine/apy/event_ledger_economics.py,includeTPTHealthLoss,,,included,unresolved,True,,tpt_harm,Requires reviewed value or reviewed exclusion rationale.,Reviewed decision required.
daly.adr_health_loss,daly,ADR health loss inclusion or exclusion,,DALYs per ADR stop,,,,,No reviewed inclusion or exclusion found in repository,Repository audit,,engine/apy/event_ledger_economics.py,includeADRHealthLoss,,,included,unresolved,True,,adr_harm,Requires reviewed value or reviewed exclusion rationale.,Reviewed decision required.
daly.post_tb_sequelae,daly,Post-TB sequelae inclusion or exclusion,,DALYs per TB case,,,,,Post-TB evidence noted in offline paper script but not primary APY reference assumption,Repository audit,,scripts/run_apy_paper_daly_icer.py,post-TB sensitivity assumptions,,,included,unresolved,True,,post_tb,Primary acute analysis requires reviewed exclusion rationale if post-TB remains excluded.,Reviewed decision required.
threshold.gdp_per_capita,threshold,Illustrative GDP-per-capita WTP benchmark,,AUD per DALY averted,,AUD,,2025-26,No verified value found in repository,Repository audit,,engine/apy/economics.py,threshold.value,,,included,unresolved,True,,decision_threshold,Illustrative benchmark only; not an official Australian threshold.,"GDP value, reference year and source required."
